2018-09-05,kQl941082316,沈阳,5,阿汤哥太帅了！ｸﾞｯ!(๑•̀ㅂ•́)و✧
2018-09-05,一世繁华为你而来,南阳,5,阿汤哥，心目中的男神，看到阿汤哥电影，想都不想，直接十二点来看首映，果然还是不让人失望
2018-09-05,YKu141235315,大连,5,特别好看(｡･ω･｡)ﾉ♡
2018-09-05,dXx442329752,眉山,4.5,精彩  值得一看
2018-09-05,min13892853406,栾川,5,可以～～～～
2018-09-05,MUv695374805,沧州,5,太好看了，特技特别喜欢
2018-09-05,Fkt590354981,广州,5,阿汤哥真心不要命啊😂
2018-09-05,蝶澈oO109,北京,5,节奏紧凑，IMAX震撼视听，把我瞬间燃爆了！
2018-09-05,H哈啦啦,成都,4.5,不错不错不错
2018-09-05,js杨佳欣,重庆,0.5,不好看，，，，
2018-09-05,jinglei8586,慈溪,5,阿汤哥的百米速度惊人!
2018-09-05,Oaw562562549,长沙,4.5,一如既往的的炸
2018-09-05,KMn143525192,大同,5,阿汤哥又刷新了极限
刚坐进影院一眼就看出阿汤哥老了，还在回想10年前初看碟中谍时的场景，虽然拍了22年了，比我还大，还是很感谢他为我们塑造是tough guy的形象。用心制作，喜欢😊
2018-09-05,冬雪落无声,北京,4,剧情和故事没有很多的突破，但是会被阿汤哥所感染，年近不惑还认真的排动作大片，不易，致敬！加油！
2018-09-05,OtT962362025,江阴,4,剧情太紧凑  总体不错
2018-09-05,kQl941082316,沈阳,5,阿汤哥太帅了！ｸﾞｯ!(๑•̀ㅂ•́)و✧
2018-09-05,一世繁华为你而来,南阳,5,阿汤哥，心目中的男神，看到阿汤哥电影，想都不想，直接十二点来看首映，果然还是不让人失望
2018-09-05,YKu141235315,大连,5,特别好看(｡･ω･｡)ﾉ♡
2018-09-05,dXx442329752,眉山,4.5,精彩  值得一看
2018-09-05,min13892853406,栾川,5,可以～～～～
2018-09-05,MUv695374805,沧州,5,太好看了，特技特别喜欢
2018-09-05,Fkt590354981,广州,5,阿汤哥真心不要命啊😂
2018-09-05,蝶澈oO109,北京,5,节奏紧凑，IMAX震撼视听，把我瞬间燃爆了！
2018-09-05,H哈啦啦,成都,4.5,不错不错不错
2018-09-05,js杨佳欣,重庆,0.5,不好看，，，，
2018-09-05,jinglei8586,慈溪,5,阿汤哥的百米速度惊人!
2018-09-05,KMn143525192,大同,5,阿汤哥又刷新了极限
刚坐进影院一眼就看出阿汤哥老了，还在回想10年前初看碟中谍时的场景，虽然拍了22年了，比我还大，还是很感谢他为我们塑造是tough guy的形象。用心制作，喜欢😊
2018-09-05,冬雪落无声,北京,4,剧情和故事没有很多的突破，但是会被阿汤哥所感染，年近不惑还认真的排动作大片，不易，致敬！加油！
2018-09-05,OtT962362025,江阴,4,剧情太紧凑  总体不错
2018-09-05,kQl941082316,沈阳,5,阿汤哥太帅了！ｸﾞｯ!(๑•̀ㅂ•́)و✧
2018-09-05,一世繁华为你而来,南阳,5,阿汤哥，心目中的男神，看到阿汤哥电影，想都不想，直接十二点来看首映，果然还是不让人失望
2018-09-05,YKu141235315,大连,5,特别好看(｡･ω･｡)ﾉ♡
2018-09-05,dXx442329752,眉山,4.5,精彩  值得一看
2018-09-05,min13892853406,栾川,5,可以～～～～
2018-09-05,MUv695374805,沧州,5,太好看了，特技特别喜欢
2018-09-05,Fkt590354981,广州,5,阿汤哥真心不要命啊😂
2018-09-05,蝶澈oO109,北京,5,节奏紧凑，IMAX震撼视听，把我瞬间燃爆了！
2018-09-05,H哈啦啦,成都,4.5,不错不错不错
2018-09-05,js杨佳欣,重庆,0.5,不好看，，，，
2018-09-05,jinglei8586,慈溪,5,阿汤哥的百米速度惊人!
2018-09-05,royjade,南通,5,特技爆棚，情节引人入胜
2018-09-05,冬雪落无声,北京,4,剧情和故事没有很多的突破，但是会被阿汤哥所感染，年近不惑还认真的排动作大片，不易，致敬！加油！
2018-09-05,OtT962362025,江阴,4,剧情太紧凑  总体不错
2018-09-05,kQl941082316,沈阳,5,阿汤哥太帅了！ｸﾞｯ!(๑•̀ㅂ•́)و✧
2018-09-05,一世繁华为你而来,南阳,5,阿汤哥，心目中的男神，看到阿汤哥电影，想都不想，直接十二点来看首映，果然还是不让人失望
2018-09-05,YKu141235315,大连,5,特别好看(｡･ω･｡)ﾉ♡
2018-09-05,dXx442329752,眉山,4.5,精彩  值得一看
2018-09-05,min13892853406,栾川,5,可以～～～～
2018-09-05,MUv695374805,沧州,5,太好看了，特技特别喜欢
2018-09-05,Fkt590354981,广州,5,阿汤哥真心不要命啊😂
2018-09-05,蝶澈oO109,北京,5,节奏紧凑，IMAX震撼视听，把我瞬间燃爆了！
2018-09-05,H哈啦啦,成都,4.5,不错不错不错
2018-09-05,js杨佳欣,重庆,0.5,不好看，，，，
2018-09-05,jinglei8586,慈溪,5,阿汤哥的百米速度惊人!
2018-09-05,royjade,南通,5,特技爆棚，情节引人入胜
2018-09-05,五十七155,镇江,5,超级刺激，超级好看，看的我一手心的汗。
2018-09-05,OtT962362025,江阴,4,剧情太紧凑  总体不错
2018-09-05,kQl941082316,沈阳,5,阿汤哥太帅了！ｸﾞｯ!(๑•̀ㅂ•́)و✧
2018-09-05,一世繁华为你而来,南阳,5,阿汤哥，心目中的男神，看到阿汤哥电影，想都不想，直接十二点来看首映，果然还是不让人失望
2018-09-05,YKu141235315,大连,5,特别好看(｡･ω･｡)ﾉ♡
2018-09-05,dXx442329752,眉山,4.5,精彩  值得一看
2018-09-05,min13892853406,栾川,5,可以～～～～
2018-09-05,MUv695374805,沧州,5,太好看了，特技特别喜欢
2018-09-05,Fkt590354981,广州,5,阿汤哥真心不要命啊😂
2018-09-05,蝶澈oO109,北京,5,节奏紧凑，IMAX震撼视听，把我瞬间燃爆了！
2018-09-05,H哈啦啦,成都,4.5,不错不错不错
2018-09-05,js杨佳欣,重庆,0.5,不好看，，，，
2018-09-05,jinglei8586,慈溪,5,阿汤哥的百米速度惊人!
2018-09-05,royjade,南通,5,特技爆棚，情节引人入胜
2018-09-05,五十七155,镇江,5,超级刺激，超级好看，看的我一手心的汗。
2018-09-05,鬼墨珧,沈阳,5,除了太好看我真心不知道该评价什么了！
2018-09-05,OtT962362025,江阴,4,剧情太紧凑  总体不错
2018-09-05,kQl941082316,沈阳,5,阿汤哥太帅了！ｸﾞｯ!(๑•̀ㅂ•́)و✧
